ShortName	Unit_ID	PlantID	max	lonAdj	ladAdj
FARADAY	396152	74327	90.74	-122.4375	45.3125
FOLSOM	396248	74391	117.92	-121.1875	38.6875
FORKSOFB	396276	74412	25.26	-121.6875	39.8125
FTPECKW	396307	74430	425.16	-106.3125	48.0625
FRANKENH	396344	74449	56.88	-120.6875	37.8125
FRENCHME	396406	74477	11.87	-120.4375	39.0625
FRIANTHY	396415	74480	63.43	-119.6875	37.0625
GEMSTATE	396546	74559	229.23	-112.0625	43.4375
GLENCANY	396634	74607	628.55	-111.5625	36.8125
GORGE(WA	396724	74653	109.44	-121.3125	48.6875
GRACE(ID	396739	74663	42.86	-111.8125	42.5625
GRAND_HY	396784	74672	2216.18	-119.0625	48.0625
GREENSPR	396905	74720	1.16	-122.4375	42.1875
GRIZZLY	396935	74738	73.41	-121.4375	39.8125
HMJACKSO	396969	74759	19.02	-121.6875	48.0625
HAAS	396979	74766	11.76	-119.0625	36.9375
HAIWEE	396992	74774	1.84	-118.0625	36.0625
HAMILTON	397016	74788	23.81	-121.0625	40.1875
HATCRK1	397101	74841	63.54	-121.5625	40.9375
HATCRK2	397102	74842	63.54	-121.5625	40.9375
HATCHETC	397105	74844	77.5	-121.9375	40.9375
HAUSER	397106	74847	234.42	-111.9375	46.8125
HAYPRSL	397127	74859	12.24	-120.5625	39.6875
HAYPRSM	397128	737261	12.24	-120.5625	39.6875
HEADGATE	397131	74864	698.67	-114.1875	34.1875
HELLSCAN	397150	74882	635.34	-116.6875	45.3125
HILLSCRE	397278	74938	45.76	-122.4375	43.6875
HOLTER	397331	74967	248.73	-111.9375	47.0625
HOOVER(N	397370	74981	713.48	-114.6875	36.0625
HOOVER(A	397375	74982	713.48	-114.6875	36.0625
HORSE_HY	397392	74990	24.6	-111.4375	33.5625
HRSSHBND	397396	74991	93.34	-116.1875	43.9375
HUNGRYHO	397428	75015	229.14	-114.0625	48.4375
HYDROPLA	397460	75037	2.38	-111.5625	39.4375
ICEHARBO	397496	75053	1488.38	-118.9375	46.1875
INSKIP	397555	75090	20.84	-122.0625	40.4375
IRONGATE	397608	75103	84.43	-122.4375	41.9375
ISABELLA	397609	75107	21.94	-118.5625	35.5625
ISLANDPA	397611	75110	13.11	-111.4375	44.3125
JAMESBBL	397677	75149	77.5	-121.9375	40.9375
JAYBIRD	397696	75159	24.12	-120.5625	38.8125
JOHNCBOY	397731	75181	77.6	-122.0625	42.0625
JUDGEFCA	397791	75206	29.75	-122.5625	40.5625
KEKAWAKA	397888	75254	144.42	-123.5625	40.0625
KELLYRID	397889	75255	175.49	-121.5625	39.5625
KERCKOF1	397933	75278	67.55	-119.5625	37.0625
KERCKOF2	397936	75279	67.55	-119.5625	37.0625
KERNCANY	397937	75282	5.63	-118.9375	35.1875
KRNRVR1	397940	75284	21.18	-118.9375	35.4375
KRNRVR3	397945	75285	20.98	-118.4375	35.6875
KERR	397949	75288	271.81	-114.3125	47.5625
KESWICK	397954	75290	238.01	-122.4375	40.5625
KILARC	397987	75308	12.02	-121.9375	40.6875
KINGSRIV	398029	75324	55.05	-119.1875	36.8125
KOMAKULS	398069	75354	362.72	-121.8125	48.5625
KORTES	398071	75355	74.3	-106.9375	42.1875
LAGRANGE	398106	75374	69.13	-120.4375	37.6875
LAGRANDE	398130	75382	56	-122.3125	46.8125
LEMOLO1	398280	75469	19.43	-122.3125	43.3125
LEMOLO2	398281	75470	30.98	-122.4375	43.3125
LIBBY(US	398310	75482	230.96	-115.4375	48.3125
LITTLECO	398377	75515	7.5	-111.8125	40.5625
LITTLEFA	398385	75517	214.78	-117.9375	47.8125
LOOKOUTP	398480	75560	107.63	-122.8125	43.9375
LOONLAKE	398484	75562	11.87	-120.4375	39.0625
LOWERBAK	398521	75589	362.72	-121.8125	48.5625
LOWERGRA	398522	75593	1438.19	-117.4375	46.6875
LOWERMOL	398530	75597	8.75	-107.9375	39.1875
LOWERMON	398531	75598	1489.7	-118.4375	46.5625
LOWERNO1	398537	75600	230.02	-112.0625	43.5625
LOWERSAL	398540	75603	300.14	-114.9375	42.8125
LUCKYPEA	398551	75611	68.92	-115.9375	43.5625
MADISON(	398651	75661	71.9	-111.5625	45.5625
MAMMOTHP	398693	75679	65.46	-119.4375	37.1875
MANITOU	398708	75686	1.56	-105.0625	38.8125
MARYSLAK	398787	75738	7.04	-105.4375	40.4375
MAYFIELD	398798	75746	163.05	-122.6875	46.4375
MCNARY	398842	75768	4262.5	-119.3125	45.9375
MIDDLEFO	399011	75838	28.28	-120.6875	38.9375
MLCKHY	399048	75861	9.6	-117.1875	34.0625
MILNERHY	399071	75872	257.81	-113.9375	42.5625
MOCCASLH	399136	75925	67.45	-120.3125	37.8125
MNTCKHY	399209	75960	20.06	-122.0625	40.5625
