name,category,M1,M10,M11,M12,M2,M3,M4,M5,M6,M7,M8,M9
Camino_H1,Hydro,75,75,75,75,75,75,75,75,75,75,75,75
Camino_H2,Hydro,75,75,75,75,75,75,75,75,75,75,75,75
Camp_Far_West_1,LCGS_CA_hydro,5.710000038,13.06999969,3.210000038,4.960000038,5.03000021,5.920000076,5.610000134,6.170000076,5.71999979,2.019999981,5.150000095,20.25
Canoe_Creek,Hydro_ZeroK,5.440000057,5.440000057,5.440000057,5.440000057,5.440000057,5.440000057,5.440000057,5.440000057,5.440000057,5.440000057,5.440000057,5.440000057
Canyon_Ferry_1,Hydro_FixedDispatch,12,17.32999992,14,14,10.32999992,10,9.670000076,9,19,19.32999992,13.32999992,16
Canyon_Ferry_2,Hydro_FixedDispatch,12,17.32999992,14,14,10.32999992,10,9.670000076,9,19,19.32999992,13.32999992,16
Canyon_Ferry_3,Hydro_FixedDispatch,12,17.32999992,14,14,10.32999992,10,9.670000076,9,19,19.32999992,13.32999992,16
Canyon_Springs,Hydro_FixedDispatch,0.129999995,0.129999995,0.129999995,0.129999995,0.129999995,0.129999995,0.129999995,0.129999995,0.129999995,0.129999995,0.129999995,0.129999995
Caribou_2_4,Hydro,62.40000153,62.40000153,62.40000153,62.40000153,62.40000153,62.40000153,62.40000153,62.40000153,62.40000153,62.40000153,62.40000153,62.40000153
Caribou_2_5,Hydro,59.59999847,59.59999847,59.59999847,59.59999847,59.59999847,59.59999847,59.59999847,59.59999847,59.59999847,59.59999847,59.59999847,59.59999847
Caribou1-1,Hydro,24,24,24,24,24,24,24,24,24,24,24,24
Caribou1-2,Hydro,24,24,24,24,24,24,24,24,24,24,24,24
Caribou1-3,Hydro,24,24,24,24,24,24,24,24,24,24,24,24
Carmen_Smith_1,Hydro,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076
Carmen_Smith_2,Hydro,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076,52.20000076
Carmen_Smith_3,Hydro,9.899999619,9.899999619,9.899999619,9.899999619,9.899999619,9.899999619,9.899999619,9.899999619,9.899999619,9.899999619,9.899999619,9.899999619
Cascade_CO,Hydro_FixedDispatch,0.850000024,0.850000024,0.850000024,0.850000024,0.850000024,0.850000024,0.850000024,0.850000024,0.850000024,0.850000024,0.850000024,0.850000024
Cascade_ID_1,Hydro,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809
Cascade_ID_2,Hydro,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809,6.199999809
Cascade1_1,Hydro,17,17,17,17,17,17,17,17,17,17,17,17
