name,M1,M10,M11,M12,M2,M3,M4,M5,M6,M7,M8,M9
GosselinHydroGEN2,0,0,0,0,0,0,0,0,0,0,0,0
Grace_3,0,0,0,0,0,0,0,0,0,0,0,0
Grace_4,0,0,0,0,0,0,0,0,0,0,0,0
Grace_5,0,0,0,0,0,0,0,0,0,0,0,0
Grand_Valley1,0,0,0,0,0,0,0,0,0,0,0,0
Grand_Valley2,0,0,0,0,0,0,0,0,0,0,0,0
GrandCoulee01,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee02,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee03,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee04,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee05,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee06,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee07,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee08,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee09,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee10,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee11,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee12,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee13,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee14,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee15,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee16,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee17,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee18,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954,16.47999954
GrandCoulee19,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725
GrandCoulee20,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725
GrandCoulee21,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725,79.37999725
GrandCoulee22,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021
GrandCoulee23,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021
GrandCoulee24,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021,106.5100021
Green_Peter_1,0,0,0,0,0,0,0,0,0,0,0,0
Green_Peter_2,0,0,0,0,0,0,0,0,0,0,0,0
Green_Springs,0,0,0,0,0,0,0,0,0,0,0,0
GreenMountain1,0,0,0,0,0,0,0,0,0,0,0,0
GreenMountain2,0,0,0,0,0,0,0,0,0,0,0,0
GregAvenue1,0,0,0,0,0,0,0,0,0,0,0,0
Grizzly_NA1,0,0,0,0,0,0,0,0,0,0,0,0
Gross_Hydro,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey_1,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey_2,0,0,0,0,0,0,0,0,0,0,0,0
H_M_Jackson_1,0,0,0,0,0,0,0,0,0,0,0,0
H_M_Jackson_2,0,0,0,0,0,0,0,0,0,0,0,0
H_M_Jackson_3,0,0,0,0,0,0,0,0,0,0,0,0
H_M_Jackson_4,0,0,0,0,0,0,0,0,0,0,0,0
Haas1,0,0,0,0,0,0,0,0,0,0,0,0
Haas2,0,0,0,0,0,0,0,0,0,0,0,0
Hailey_Cspp_1,0,0,0,0,0,0,0,0,0,0,0,0
Haiwee_1,0,0,0,0,0,0,0,0,0,0,0,0
Haiwee_2,0,0,0,0,0,0,0,0,0,0,0,0
Halsey_1,0,0,0,0,0,0,0,0,0,0,0,0
HamiltonBranch1,0,0,0,0,0,0,0,0,0,0,0,0
HamiltonBranch2,0,0,0,0,0,0,0,0,0,0,0,0
Hatchet_Creek,0,0,0,0,0,0,0,0,0,0,0,0
HatCreek1,0,0,0,0,0,0,0,0,0,0,0,0
HatCreek2,0,0,0,0,0,0,0,0,0,0,0,0
HatCreekSmlAgg1,0,0,0,0,0,0,0,0,0,0,0,0
HatCreekSmlAgg2,0,0,0,0,0,0,0,0,0,0,0,0
HatCreekSmlAgg3,0,0,0,0,0,0,0,0,0,0,0,0
Hauer_Creek_1,0.50999999,0.50999999,0.50999999,0.50999999,0.50999999,0.50999999,0.50999999,0.50999999,0.50999999,0.50999999,0.50999999,0.50999999
Hauser_HAU1,0,0,0,0,0,0,0,0,0,0,0,0
Hauser_HAU2,0,0,0,0,0,0,0,0,0,0,0,0
Hauser_HAU3,0,0,0,0,0,0,0,0,0,0,0,0
Hauser_HAU4,0,0,0,0,0,0,0,0,0,0,0,0
Hauser_HAU5,0,0,0,0,0,0,0,0,0,0,0,0
Hauser_HAU6,0,0,0,0,0,0,0,0,0,0,0,0
Haypress_LGEN,0,0,0,0,0,0,0,0,0,0,0,0
Haypress_UGEN,0,0,0,0,0,0,0,0,0,0,0,0
Hazelton_B1,0,0,0,0,0,0,0,0,0,0,0,0
Hazelton_B2,0,0,0,0,0,0,0,0,0,0,0,0
Headgate_Rock_1,0,0,0,0,0,0,0,0,0,0,0,0
Headgate_Rock_2,0,0,0,0,0,0,0,0,0,0,0,0
Headgate_Rock_3,0,0,0,0,0,0,0,0,0,0,0,0
HeartMountain,0,0,0,0,0,0,0,0,0,0,0,0
Hell_Hole,0,0,0,0,0,0,0,0,0,0,0,0
