productionRank,Name,Power_Model_1_true_0_false_,lat_1_8_,lon_1_8_,nameplate_MW_,annualProduction_MWh_,lat,long,ROR,Units,Pump,Reservoir,alpha,Slope_NID,Slope_Grand,Head_NID_m_,Storage_m3_,ID,BA,HUC2
65,'Palisades_1',1,43.3125,-111.1875,176.4,521312,43.331827,-111.200727,0,4,0,1,0.05,0.002304714,0.010586154,75.8952,1748840279,850,PAID,17
66,'MIddleFork1',1,39.0625,-120.5625,131.16,482440,39.0264,-120.6032,1,2,0,0,0.05,0.029410219,9999,19.5072,191189.4,425,CIPV,18
67,'Camino_H1',1,38.8125,-120.5625,150,478088,38.829192,-120.528967,1,2,0,0,0.05,0.040715333,9999,39.624,669779.64,430,BANC,18
68,'Moccasin_1',1,37.8125,-120.3125,115,475536,37.8123,-120.3057,1,2,0,0,0.05,0.012213846,9999,15.3924,683347.92,381,CIPV,18
69,'BigCreek1-1',1,37.1875,-119.1875,88.3,467032,37.171971,-119.166817,1,4,0,0,0.05,0.004575259,9999,51.816,110766504,317,CISC,18
70,'Thompson_Falls1',1,47.5625,-115.3125,87.1,458899,47.5916,-115.330544,1,7,0,0,0.05,0.001569754,9999,15.24,30158586,2195,NWMT,17
71,'Long_Lake_1',1,47.8125,-117.8125,70,457872,47.83726,-117.83923,0,4,0,1,0.05,0.006440123,0.009036961,64.3128,129614078.4,3867,AVA,17
72,'Pit_3_H1',1,41.0625,-121.6875,80.1,449472,41.0218,-121.6767,0,3,0,1,0.05,0.004739558,0.004776679,32.9184,51691446.36,266,CIPV,18
73,'BoxCanyonAVA1',1,48.6875,-117.4375,84.75,446633,48.720187,-117.439466,1,4,0,0,0.05,0.002716995,9999,32.004,74008800,3891,AVA,17
74,'Fort_Peck_1',1,47.9375,-106.4375,105.5,438481,47.997082,-106.417673,1,3,0,0,0.05,0.000579727,9999,67.056,23559468000,6623,WAUW,10
75,'Pit_4_1',1,40.9375,-121.8125,103.4,426318,40.9878,-121.7692,1,2,0,0,0.05,0.01607816,9999,20.4216,2429955.6,267,CIPV,18
76,'Caribou_2_4',1,40.1875,-121.0625,122,415300,40.1744,-121.0888,0,2,0,1,0.05,0.000907538,0.005163978,27.432,1613400000,223,CIPV,18
