plant,power_area
Canyon_Ferry_1,Northwest
Canyon_Ferry_1,Northwest
Drum_2_5,Northern_California
Holter_HOL1,Northwest
Holter_HOL1,Northwest
Morony_MOR1,Northwest
Morony_MOR1,Northwest
W_R_Gianelli_1,Northern_California
CabinCreekA,Rockies
CabinCreekA,Rockies
Salt_Springs_1,Northern_California
Rainbow9,Northwest
Rainbow9,Northwest
Prospect2-1,Northwest
KingsRiverHY,Northern_California
Thermalito_1,Northern_California
LuckyPeak131,Basin
AmericanFalls1,Basin
Pit_1_H1,Northern_California
Swift_2_21,Northwest
Horse_Mesa_HM1,Southwest
Forbestown_1,Northern_California
W_E_Warne_1,Southern_California
BlueMesa1,Rockies
Bucks_Creek_H1,Northern_California
AlbeniFalls1,Northwest
Lower_Salmon_1,Basin
Snoqualmie2-6Repower,Northwest
Carmen_Smith_1,Northwest
Little_Falls_1,Northwest
Lookout_Point_1,Northwest
LaGrande_1,Northwest
Baker_Station,Northern_California
Oak_Grove_1,Northwest
Toketee_Falls_1,Northwest
Cowlitz_Falls1,Northwest
Flatiron_1,Rockies
Flatiron_1,Rockies
LostCreek_OR1,Northwest
Chicago_Park_2P,Northern_California
FriantFR1,Northern_California
Alder11,Northwest
Green_Peter_1,Northwest
Union_Valley_1,Northern_California
JSEastwoodPSInflowHY,Southern_California
Drum1-1,Northern_California
Cushman_2_31,Northwest
Mount_Elbert_1,Rockies
Mount_Elbert_1,Rockies
Pole_Hill_1,Rockies
Pole_Hill_1,Rockies
Crystal_1,Rockies
JSEastwoodPS,Southern_California
NorthFork_OR1,Northwest
Narrows2,Northern_California
Pardee_1,Northern_California
Lemolo_2_1,Northwest
Butt_Valley_1,Northern_California
Caribou1-1,Northern_California
C_J_Strike_1,Basin
BlackEagle1,Northwest
BlackEagle1,Northwest
Swan_Falls_1,Basin
Sullivan_1,Northwest
Hauser_HAU1,Northwest
Hauser_HAU1,Northwest
Faraday_1,Northwest
Dutch_Flat_2_3P,Northern_California
Loon_Lake_H1,Northern_California
Turnbull1,Northwest
Turnbull1,Northwest
MiddleGorge1,Southern_California
Seminoe_1,Rockies
Seminoe_1,Rockies
ControlGorge1,Southern_California
UpperGorge1,Southern_California
HillsCreek1,Northwest
SanFrancisq2_1,Southern_California
Monroe_Street_6,Northwest
El_Dorado_1,Northern_California
Lemolo1-1,Northwest
Gem_State_1,Basin
Dutch_Flat_1,Northern_California
Cutler_1,Basin
Upper_Salmon1,Basin
AndersonRanch1,Basin
Electron_1,Northwest
Kortes_1,Rockies
Kortes_1,Rockies
IID_Drop_4_1,Southern_California
MuckValley,Northern_California
Upper_Salmon3,Basin
KernRiver3_1,Southern_California
AGWishon1,Northern_California
Alcova1,Rockies
Alcova1,Rockies
Tulloch_1,Northern_California
Nimbus_1,Northern_California
Shoshone_A,Rockies
Post_Falls_1,Northwest
Balch1-1,Northern_California
KernRiver1_1,Northern_California
Leaburg_1,Northwest
Sand_Bar,Northern_California
Haypress_LGEN,Northern_California
Roosevelt,Southwest
De_Sabla_1,Northern_California
Smith_Falls1,Northwest
Minidoka_6,Basin
Etiwanda_Hydro,Southern_California
Cougar_1,Northwest
Wise1,Northern_California
LakeHodges1,Southern_California
NineMile2Exp,Northwest
McNaryFishway,Northwest
River_Mill_1,Northwest
WarmSpringsPwr,Northwest
Alamo_1,Southern_California
Monticello_1,Northern_California
RioBravo_Hydro1,Northern_California
Coleman_1,Northern_California
Mojave_Siphon_1,Southern_California
Foster_1,Northwest
Packwood,Northwest
Upper_Falls_1,Northwest
Sly_Creek_1,Northern_California
FremontCanyon1,Rockies
FremontCanyon1,Rockies
Mormon_Flat_MF1,Southwest
Yelm_1,Northwest
Headgate_Rock_1,Southwest
Madison_MAD1,Northwest
Madison_MAD1,Northwest
Navajo_Dam_1,Southwest
PHP1-1,Northwest
Forks_Butte1,Northern_California
Rock_Creek_I1,Basin
WestPoint_1,Northern_California
Estes_1,Rockies
Estes_1,Rockies
Grace_3,Basin
Halsey_1,Northern_California
Big_Cliff_1,Northwest
BlackCanyon1,Basin
Tesla_1,Rockies
Tesla_1,Rockies
Glendo_1,Rockies
Glendo_1,Rockies
Boysen1,Rockies
Boysen1,Rockies
Twin_Falls_1,Basin
Newcastle_1,Northern_California
Buffalo_Bill_1,Basin
Buffalo_Bill_1,Basin
Volta1-1,Northern_California
Beardsley_1,Northern_California
Snoqualmie1-1Repower,Northwest
Robbs_Peak_1,Northern_California
Upriver_Dam1,Northwest
Fish_Creek_1,Northwest
Fontenelle_1,Basin
Broadwater,Northwest
Broadwater,Northwest
Twin_Falls1,Northwest
Rush_Creek_1,Southern_California
French_Meadows,Northern_California
Kern_Canyon_1,Northern_California
Dexter_1,Northwest
IsabellaHydroGEN1,Southern_California
Green_Springs,Northwest
Borel1,Southern_California
Poole_1,Southern_California
Inskip_1,Northern_California
Lower_Malad_1,Basin
San_Dimas_1,Southern_California
Camanche_1,Northern_California
SouthForkTolt,Northwest
Clearwater2,Northwest
Kerckhoff_H1,Northern_California
IID_Drop_2_1,Southern_California
Clearwater1,Northwest
IID_Drop_3_1,Southern_California
Mystic_MYS1,Northwest
Mystic_MYS1,Northwest
Roza_1,Northwest
Potter_Valley_1,Northern_California
SepulvedaCanyon,Southern_California
FoothillFeeder1,Southern_California
Waddell-PS1,Southwest
South_1,Northern_California
Abiquiu1,Southwest
PHP_2_2,Northwest
Oneida_1,Basin
Portal,Southern_California
Cascade_ID_1,Basin
Foothill_LA,Southern_California
Kelly_Ridge_1,Northern_California
Cedar_Falls_5,Northwest
Milner_Hydro_1,Basin
BriggsCreek1,Basin
MillCreek_OR,Northwest
Rollins,Northern_California
MainCanal,Northwest
Venice_1,Southern_California
Spaulding1-1,Northern_California
Spaulding_2_1,Northern_California
StewartMountain,Southwest
BishopCreek3-1,Southern_California
BishopCreek4-1,Southern_California
Stone_Creek_1,Northwest
Chili_Bar_1,Northern_California
Olsen_GEN1,Northern_California
BishopCreek2-1,Southern_California
Koma_Kulshan,Northwest
Spring_Gap_1,Northern_California
Walterville_1,Northwest
DeerCreek(CA)_1,Northern_California
Bypass_GEN1,Basin
an_Fer9999do_1,Southern_California
HorseshoBendHY1,Basin
Chandler_1,Northwest
Spaulding_3_1,Northern_California
Tule_River1,Southern_California
FallsRiver_ID1,Basin
Prospect3,Northwest
MagicDam1,Basin
Bowman_GEN1,Northern_California
Tunnel,Basin
Grizzly_NA1,Northern_California
ThousandSpring1,Basin
Upper_Molina_1,Rockies
Perris_1,Southern_California
Oxbow_(CA)_1,Northern_California
Gross_Hydro,Rockies
Gross_Hydro,Rockies
Centerville1,Northern_California
BlackButte,Northern_California
WilsonLake1,Basin
LowLineMdwy2SoForks2,Basin
Haiwee_1,Southern_California
Upper_Malad_1,Basin
Marys_Lake_1,Rockies
Marys_Lake_1,Rockies
DallesDamNorthFshwy,Northwest
YoungsCreek,Northwest
Tiber_Dam,Northwest
Tiber_Dam,Northwest
GreenMountain1,Rockies
S_E_Hazelton1,Basin
HatCreek2,Northern_California
HatCreek1,Northern_California
IID_Drop1-1,Southern_California
LowerNo12,Basin
UpperPwr4,Basin
Kekawaka,Northern_California
LowLineRapids,Basin
Frankenheimer,Northern_California
NorthHollywood1-1,Southern_California
Jones_Fork,Northern_California
Hazelton_B1,Basin
Yorba_Linda,Southern_California
Whiskeytown_1,Northern_California
SanGabrielHydroU1,Southern_California
LakeMathews,Southern_California
Wynoochee,Northwest
PEC_Headworks_1,Northwest
Kaweah3-1,Southern_California
El_Vado_Dam_1,Southwest
Siphon1,Northwest
Guernsey_1,Rockies
Guernsey_1,Rockies
BishopCreek5-1,Southern_California
FeltHydro1,Basin
Red_Mountain_1,Southern_California
OwyheeDam,Basin
Hatchet_Creek,Northern_California
Slate_Creek,Northern_California
ManitouSprings1,Rockies
ManitouSprings1,Rockies
Valley_View_1,Southern_California
Kilarc_1,Northern_California
Vallecito1,Rockies
NewHogan1,Northern_California
EchoDam1,Basin
TietonDamHydroUNIT1,Northwest
IID_Drop_5_1,Southern_California
NorthFork_CO,Rockies
NorthFork_CO,Rockies
San_Joaquin_3_3,Northern_California
Spicer_Meadow1,Northern_California
MillCreek1,Southern_California
BigCreekWW,Northern_California
Hellroaring1,Northwest
Interlakes_1,NA
HeartMountain,Basin
HeartMountain,Basin
Ruedi_1,Rockies
Rancho,Southern_California
Santa_Ana1-1,Southern_California
Prospect1,Northwest
BigPine,Northern_California
Tacoma_1,Rockies
SpiritMountain1,Basin
SpiritMountain1,Basin
Pleasant_Valley,Southern_California
Santa_Ana_3_1,Southern_California
BigThompson,Rockies
BigThompson,Rockies
FargoDrop,Basin
Woodward,Northern_California
CoveHydro1,Northern_California
Bear_Creek,Northern_California
Rock_Creek_LP1,Northern_California
StonyGorge1,Northern_California
BoxCanyonPACW1,Northwest
Dietrich_Drop,Basin
YakamaDrop2,Southern_California
Kanaka_KAN1,Northern_California
NewLahontan,Basin
ShoshnFalls1,Basin
Soda_1,Basin
Narrows1,Northern_California
MoyieSprings1,Northwest
La_Grange_1,Northern_California
San_Joaquin_2_1,Northern_California
Lundy1,Southern_California
MiddleForkIrrD1,Northwest
BarberDamGEN1,Basin
WarmSprings,Northern_California
Murphys_1,Northern_California
EastSide,Northwest
NacimientoHydro1,Northern_California
QuincyChute,Northwest
LytleCreek1,Southern_California
Idylwilde_1,Rockies
Idylwilde_1,Rockies
Azusa,Southern_California
Santa_Felicia1,Southern_California
Towaoc_1,Rockies
AmesHydro,Rockies
Upper_Dawson_1,Northern_California
McSwain_1,Northern_California
Lakewood_Hydro,Rockies
Lakewood_Hydro,Rockies
Williams_Fork1,Rockies
Eagle_Point_1,Northwest
Franklin_1,NA
Coyote_Creek_1,Southern_California
Site_980_65,Northern_California
Parker_1,Northern_California
Clear_Lake_CA,Northern_California
Silver_Lake,Rockies
Silver_Lake,Rockies
Silver_Lake,Rockies
Kaweah1,Southern_California
East_Highline_1,Southern_California
BoiseRDiversion1A,Basin
Stampede_1,Northern_California
Fall_Creek_1,Northwest
Upper_Beaver_1,Basin
SouthDryCreekHydro1,Northwest
SouthDryCreekHydro1,Northwest
Washoe_1,Basin
LakeMendocino,Northern_California
ClrwatrFishHtch,Northwest
Crosscut_CC5,Southwest
Foothills_CO,Rockies
Foothills_CO,Rockies
BoulderCanyon1,Rockies
BoulderCanyon1,Rockies
Temescal_1,Southern_California
Corona_1,Southern_California
Shoshone_1,Basin
Shoshone_1,Basin
ThermalitoDiverson,Northern_California
Betasso_Hydro,Rockies
Betasso_Hydro,Rockies
Grand_Valley1,Rockies
Mile28Water1,Basin
LowerNo21,Basin
Turlock_Lake_1,Northern_California
Verdi_1,Basin
MoccasinLowHead,Northern_California
Deadwood_Creek,Northern_California
LittleWoodHydro,Basin
Springville,Southern_California
Tule_River3,Southern_California
Camp_Far_West_1,Northern_California
Kaweah2,Southern_California
MichellButte,Basin
BirchCreek1,Basin
Burney_Creek,Northern_California
Pilot_Knob_1,Southern_California
Russell_D_smith,Northwest
Sugarloaf,Rockies
Sugarloaf,Rockies
Clear_Lake_ID,Basin
Fleish_1,Northern_California
CrystalSprings,Basin
MontgomeryCreekHydro,Northern_California
Taylor_Draw,Rockies
BishopCreek6-1,Southern_California
Cottonwood_1,Northern_California
Lahontan_1,Basin
FlintCreek,NA
Toadtown_1,Northern_California
HamiltonBranch1,Northern_California
Rio_Hondo_1,Southern_California
LateralVentures,Basin
Nooksack,Northwest
Hillcrest_PS,Rockies
Hillcrest_PS,Rockies
MoraDrop,Basin
Elk_Creek,Basin
WhitewaterHydroWWHI,Southern_California
Rock_Creek_II1,Basin
Volta_2_1,Northern_California
Dillon_Hydro,Rockies
Phoenix_1,Northern_California
Roaring_Creek1,Northern_California
Alta_PH1,Northern_California
LimeSaddle1,Northern_California
GosselinHydroGEN1,Northern_California
Cow_Creek_1,Northern_California
Weeks_Falls,Northwest
EastPortalGenerator1,Southern_California
ThreeForksWater,Northern_California
BidwellDitchGEN1,Northern_California
San_Dimas_Wash,Southern_California
BlackCreek,Northwest
StrawberryCreek1,Basin
LostCreek_CA,Northern_California
BlindCanyon,Basin
LittleMac1,Basin
GregAvenue1,Southern_California
Tulare_Success,Southern_California
PointLomaHY,Northern_California
SouthConsol,Southwest
Redlands,Rockies
Salida_1,Rockies
Salida_1,Rockies
Salida_1,Rockies
Bend1,Northwest
KaselWitherpoonCoLS1,Basin
CombieSouth1,Northern_California
DivisionCreek,Southern_California
Marco_Ranch_1,Basin
McPhee_1,Rockies
Angels,Northern_California
Prospect4,Northwest
Koyle_Ranch,Basin
Merced_Falls_1,Northern_California
Ruxton_Park_1,Rockies
Ruxton_Park_1,Rockies
Georgetown_1,NA
Georgetown_1,NA
Oak_Flat_1,Northern_California
St.Johns,Southern_California
Cascade_CO,Rockies
Cascade_CO,Rockies
NelsonCreek1296,Northern_California
Strontia1,Rockies
Strontia1,Rockies
PonderosaBaileyCreek,Northern_California
Potholes_East,Northwest
NotchButteGeoBon2,Basin
Eltopia_Branch,Northwest
Hickman_1,Northern_California
ScottFlat7P,Northern_California
ArizonaFalls,Southwest
Rocky_Brook,Northwest
BoxCanyonID,Basin
Snedigar_1,Basin
Schaffner_1,Basin
Lewiston_1,Northern_California
Sheep_Creek1,Northwest
Slab_Creek_1,Northern_California
Burton_Creek,Northwest
MeyersFalls1,Northwest
EsquatzelCanal,Northwest
Double_Weir1,Southern_California
Skookumchuck1,Northwest
CombieNorth,Northern_California
Reynolds,Basin
Stone_Drop_1,Northern_California
Shingle_Creek_1,Basin
Rim_View_1,Basin
PortTownsend,Northwest
Shasta_River_1,Northwest
Snake_River,Basin
ElephantButte1,Southwest
DiamondValleyLake02,Southern_California
ONeill_1,Northern_California
Lower_Molina_1,Rockies
Iron_Gate,Northwest
Copco1-1,Northwest
Copco_2_1,Northwest
John_C_Boyle_1,Northwest
