plexos_name,grid_id
LittleWoodHydro,68296
Long_Lake_1,84506
Long_Lake_2,84506
Long_Lake_3,84506
Long_Lake_4,84506
Loon_Lake_H1,52005
LostCreek_CA,58956
LowerBaker4,87723
Lower_Clowhom_1,NA
Lower_Molina_1,52569
LowerNo12,68776
LowerNo21,65046
Lower_Salmon_1,65969
Lower_Salmon_2,65969
Lower_Salmon_3,65969
Lower_Salmon_4,65969
LowLineMdwy2SoForks1,68751
LowLineRapids,65045
LuckyPeak131,68744
LuckyPeak132,68744
LuckyPeak133,68744
Lundy1,47839
Lundy2,47839
Madison_MAD1,76204
Madison_MAD2,76204
Madison_MAD3,76204
Madison_MAD4,76204
MagicDam1,67366
MagicDam2,67366
MagicDam3,67366
MainCanal,83567
MammothPool1,45518
MammothPool2,45518
Mamquam_1,NA
Mamquam_2,NA
ManitouSprings1,51200
ManitouSprings2,51200
ManitouSprings3,51200
Marion3_Creek,NA
Marys_Lake_1,57229
Mayfield_41,79828
Mayfield_42,79828
Mayfield_43,79828
Mayfield_44,79828
McNair_Creek_1,NA
McNaryFishway,77534
McPhee_1,46069
Mears_Creek_1,NA
MeyersFalls1,87752
MeyersFalls2,87752
Mica_1,NA
Mica_2,NA
Mica_3,NA
Mica_4,NA
MichellButte,68734
MiddleForkIrrD1,76123
MiddleForkIrrD2,76123
MiddleForkIrrD3,76123
MiddleGorge1,45988
Mile28Water1,68776
Mile28Water2,68776
MillerCreek1,NA
MillerCreek2,NA
Milner_Hydro_1,65049
Milner_Hydro_2,65049
Milner_Hydro_3,65049
Minidoka_6,65517
Minidoka_7,65517
Minidoka_8,65517
Minidoka_9,65517
MoccasinLowHead,47366
Mojave_Siphon_1,34862
Mojave_Siphon_2,34862
Mojave_Siphon_3,34862
Monroe_Street_6,84045
MontgomeryCreekHydro,57560
Montrose_Creek1,NA
Montrose_Creek2,NA
Morony_MOR1,83632
Morony_MOR2,83632
Mossyrock_51,79829
Mossyrock_52,79829
Murphys_1,48293
Mystic_MYS1,75291
Mystic_MYS2,75291
NacimientoHydro1,40401
NacimientoHydro2,40401
Navajo_Dam_1,43755
Navajo_Dam_2,43755
NelsonCreek1296,58953
NineMile3,84508
NineMile4,84508
NorthFork_CO,53516
NorthFork_OR1,75190
NorthFork_OR2,75190
NorthHollywood1-1,33926
NorthHollywood1-2,33926
NorthHollywood1-3,33926
NotchButteGeoBon2,66435
Noxon_Rapids_1,84987
Noxon_Rapids_2,84987
Noxon_Rapids_3,84987
Noxon_Rapids_4,84987
Noxon_Rapids_5,84987
Oak_Flat_1,54784
Oak_Grove_1,74265
Oak_Grove_2,74265
Oneida_1,64139
Oneida_2,64139
Oneida_3,64139
OwyheeDam,68734
Oxbow_(OR)_1,73842
Oxbow_(OR)_2,73842
Oxbow_(OR)_3,73842
Oxbow_(OR)_4,73842
Packwood,79835
Palisades_1,67855
Palisades_2,67855
Palisades_3,67855
Palisades_4,67855
Parker_1,44120
Peace_Canyon_1,NA
Peace_Canyon_2,NA
Peace_Canyon_3,NA
Peace_Canyon_4,NA
PEC_Headworks_1,81246
Pelton_1,72879
Pelton_2,72879
Pelton_3,72879
Phoenix_1,48293
PHP1-1,76119
Pilot_Knob_1,29775
Pilot_Knob_2,29775
Pine_Flat_1,43662
Pine_Flat_2,43662
Pine_Flat_3,43662
Pingston_1,NA
Pingston_2,NA
Pingston_3,NA
Pit_4_1,58954
Pit_4_2,58954
Pit_5_H1,58954
Pit_5_H2,58954
Pit_5_H3,58954
Pit_5_H4,58954
Pit_6_H1,58953
Pit_6_H2,58953
Pit_7_H1,58488
Pit_7_H2,58488
Pleasant_Valley,45988
Poe_1,54781
Poe_2,54781
PonderosaBaileyCreek,57097
PortTownsend,85859
Post_Falls_1,84048
Post_Falls_2,84048
Post_Falls_3,84048
Post_Falls_4,84048
Post_Falls_5,84048
Post_Falls_6,84048
Potholes_East,78926
Prospect1,65444
Prospect2-1,65908
Prospect2-2,65908
Prospect3,65445
Prospect4,65444
PtarmiganCreek1,NA
PtarmiganCreek2,NA
Puntledge_1,NA
QuincyChute,82170
Redlands,52100
Revelstoke_1,NA
Revelstoke_2,NA
Revelstoke_3,NA
Revelstoke_4,NA
Revelstoke_5,NA
River_Mill_1,75189
River_Mill_2,75189
River_Mill_3,75189
River_Mill_4,75189
River_Mill_5,75189
Roaring_Creek1,58953
Rock_Creek_H1,55246
Rock_Creek_H2,55246
Rock_Creek_I1,65508
Rock_Creek_II1,65045
Rock_Creek_LP1,51074
Rock_Creek_LP2,51074
Rocky_Brook,83536
Rocky_Reach_C_1,83558
Rocky_Reach_C10,83558
Rocky_Reach_C11,83558
Rocky_Reach_C_2,83558
Rocky_Reach_C_3,83558
Rocky_Reach_C_4,83558
Rocky_Reach_C_5,83558
Rocky_Reach_C_6,83558
Rocky_Reach_C_7,83558
Rocky_Reach_C_8,83558
Rocky_Reach_C_9,83558
Roosevelt,32127
Ross_41,87728
Ross_42,87728
Ross_43,87728
Ross_44,87728
Round_Butte_1,72414
Round_Butte_2,72414
Round_Butte_3,72414
Roza_1,80309
Ruedi_1,53041
Rundle1_1,NA
Rundle2_2,NA
Russell_D_smith,81247
RutherfordCrk1,NA
RutherfordCrk2,NA
Ruxton_Park_1,51202
Ryan1,83632
Ryan2,83632
Ryan3,83632
Ryan4,83632
Ryan5,83632
Ryan6,83632
Salida_1,50262
Salida_2,50262
Salmon_Inlet1,NA
Salmon_Inlet2,NA
Salt_Springs_1,49687
Salt_Springs_2,49687
San_Dimas_1,33929
San_Dimas_Wash,58492
San_Fernando_1,NA
San_Fernando_2,NA
SanFrancisq1_1A,35316
SanFrancisq1-3,35316
SanFrancisq1-4,35316
SanFrancisq1-6,35316
SanFrancisq2_1,34853
SanFrancisq2_2,34853
SanFrancisq2_3,34853
SanGabrielHydroU1,33463
SanGabrielHydroU2,33463
Santa_Ana1-1,33472
SantaAna1-2,33472
SantaAna1-3,33472
SantaAna1-4,33472
Santa_Ana_3_1,33471
Santa_Felicia1,34850
Santa_Felicia2,34850
ScottFlat7P,52931
S.CranberryCrk1,NA
S.CranberryCrk2,NA
S.CranberryCrk3,NA
S_E_Hazelton1,65047
S_E_Hazelton2,65047
S_E_Hazelton3,65047
SepulvedaCanyon,32997
Seton_1,NA
Seven_Mile_1,NA
Seven_Mile_2,NA
Seven_Mile_3,NA
Seven_Mile_4,NA
Shasta_1,58021
Shasta_2,58021
Shasta_3,58021
Shasta_4,58021
Shasta_5,58021
Sheep_Creek1,88682
ShoshnFalls1,65045
ShoshnFalls2,65045
ShoshnFalls3,65045
Shoshone_1,72512
Shoshone_A,53966
Shoshone_B,53966
Shuswap_1,NA
Shuswap_2,NA
Silver_Lake,55835
Siphon1,70558
Siphon2,70558
Site_980_65,51524
Skookumchuck1,80755
Slate_Creek,58486
Slide_Creek_1,NA
Smith_Falls1,88692
Smith_Falls2,88692
Smith_Falls3,88692
Soda_1,65066
Soda_2,65066
Soda_Springs_1,NA
Soo_River_1,NA
Soo_River_2,NA
SouthConsol,31191
SouthDryCreekHydro1,74830
SouthForkTolt,83085
Spicer_Meadow1,48293
Spicer_Meadow2,48293
Spicer_Meadow3,48293
Spillimacheen_1,NA
Spillimacheen_2,NA
Spillimacheen_3,NA
SpiritMountain1,72512
Spray1_1,NA
Spray2_1,NA
Springville,33919
S_Slocan_1,NA
S_Slocan_2,NA
S_Slocan_3,NA
S.Sutton_Creek,NA
Stampede_1,53400
Stampede_2,53400
Stave_Falls_1,NA
Stave_Falls_2,NA
StewartMountain,31661
Stokke1,NA
Stokke2,NA
Stone_Creek_1,74265
StonyGorge1,54309
StonyGorge2,54309
Strathcona_1,NA
Strathcona_2,NA
StrawberryCreek1,66001
StrawberryCreek2,66001
StrawberryCreek3,66001
Strontia1,53984
Strontia2,53984
Sugarloaf,52582
