Generator,Data File,Multiplier
Chili_Bar_1,HY_YubaWest_2010[05].csv,Escalator0.0007
ChinChute_Hydro,HY_ChinChute_2010[05].csv,Escalator0.0012
ClrSpringsTrout,HY_Generic_2010[Keswick05].csv,Escalator0.000052
ClrwatrFishHtch,HY_Generic_2010[Keswick05].csv,Escalator0.00029
Coleman_1,HY_BattleRiver_2010[05].csv,Escalator0.0013
Colgate_1,HY_Colgate_2010[05].csv,Escalator0.017672
Colgate_2,HY_Colgate_2010[05].csv,Escalator0.017567
CombieNorth,HY_Generic_2010[Keswick05].csv,Escalator0.000033
Corona_1,HY_Generic_2010[Keswick05].csv,Escalator0.000285
Cougar_1,HY_Cougar_2010[05].csv,Escalator0.0014
Cougar_2,HY_Cougar_2010[05].csv,Escalator0.0014
Coyote_Creek_1,HY_Generic_2010[Keswick05].csv,Escalator0.000313
Crane_Valley,HY_Generic_2010[Keswick05].csv,Escalator0.00009
Cresta_1,HY_Cresta_2010[05].csv,Escalator0.00352
Cresta_2,HY_Cresta_2010[05].csv,Escalator0.00352
Crystal_1,HY_Crystal_2010[05].csv,Escalator0.00315
Curis_QF,HY_Generic_2010[Keswick05].csv,Escalator0.00023
Curry_Cattle,HY_Generic_2010[Keswick05].csv,Escalator0.000022
Cutler_1,HY_Cutler_2010[05].csv,Escalator0.0015
Cutler_2,HY_Cutler_2010[05].csv,Escalator0.0015
Davis_Dam_1,HY_Davis_2010[05].csv,Escalator0.005175
Davis_Dam_2,HY_Davis_2010[05].csv,Escalator0.005175
Davis_Dam_3,HY_Davis_2010[05].csv,Escalator0.0048
Davis_Dam_4,HY_Davis_2010[05].csv,Escalator0.005175
Davis_Dam_5,HY_Davis_2010[05].csv,Escalator0.005175
De_Sabla_1,HY_WestFeatherRiver_2010[05].csv,Escalator0.00185
Deadwood_Creek,HY_WestFeatherRiver_2010[05].csv,Escalator0.0002
DeerCreek(CA)_1,HY_YubaBear_2010[05].csv,Escalator0.0007
Detroit_1,HY_Detroit_2010[05].csv,Escalator0.005
Detroit_2,HY_Detroit_2010[05].csv,Escalator0.005
DevilCanyon1,HY_DevilCnyn_2010[05].csv,Escalator0.006
DevilCanyon2,HY_DevilCnyn_2010[05].csv,Escalator0.006
DevilCanyon3,HY_DevilCnyn_2010[05].csv,Escalator0.008
DevilCanyon4,HY_DevilCnyn_2010[05].csv,Escalator0.008
Dexter_1,HY_Dexter_2010[05].csv,Escalator0.0015
Dion_R_Holm_1,HY_Holm_2010[05].csv,Escalator0.0085
Dion_R_Holm_2,HY_Holm_2010[05].csv,Escalator0.0085
DivisionCreek,HY_Generic_2010[Keswick05].csv,Escalator0.00006
Donnells,HY_Donnells_2010[05].csv,Escalator0.0072
DonPedro1,HY_DonPedro_2010[05].csv,Escalator0.0055
DonPedro2,HY_DonPedro_2010[05].csv,Escalator0.0055
DonPedro3,HY_DonPedro_2010[05].csv,Escalator0.0055
DonPedro4,HY_DonPedro_2010[05].csv,Escalator0.00382
Double_Weir1,HY_Generic_2010[Keswick05].csv,Escalator0
Double_Weir2,HY_Generic_2010[Keswick05].csv,Escalator0
Drum_2_5,HY_Drum2_2010[05].csv,Escalator0.005
Drum1-1,HY_Drum1_2010[05].csv,Escalator0.00133
Drum1-2,HY_Drum1_2010[05].csv,Escalator0.00133
Drum1-3,HY_Drum1_2010[05].csv,Escalator0.00274
Drum1-4,HY_Drum1_2010[05].csv,Escalator0.00132
Dutch_Flat_1,HY_YubaBear_2010[05].csv,Escalator0.0022
Dutch_Flat_2_3P,HY_YubaBear_2010[05].csv,Escalator0.0026
Dworshak_1,HY_Dworshk_2010[05].csv,Escalator0.009
Dworshak_2,HY_Dworshk_2010[05].csv,Escalator0.009
Dworshak_3,HY_Dworshk_2010[05].csv,Escalator0.022
El_Dorado_1,HY_YubaWest_2010[05].csv,Escalator0.00105
El_Dorado_2,HY_YubaWest_2010[05].csv,Escalator0.00105
ElephantButte1,HY_EleButte_2010[05].csv,Escalator0.00093
ElephantButte2,HY_EleButte_2010[05].csv,Escalator0.00093
ElephantButte3,HY_EleButte_2010[05].csv,Escalator0.00093
Estes_1,HY_Estes_2010[05].csv,Escalator0.0015
Estes_2,HY_Estes_2010[05].csv,Escalator0.0015
Estes_3,HY_Estes_2010[05].csv,Escalator0.0015
Etiwanda_Hydro,HY_Generic_2010[Keswick05].csv,Escalator0.0024
Exchequer,HY_Exchequer_2010[05].csv,Escalator0.00945
Faulkner_Ranch,HY_Generic_2010[Keswick05].csv,Escalator0.000087
Fisheries_Dev,HY_Generic_2010[Keswick05].csv,Escalator0.000026
FlamingGorge1,HY_FlamGorge_2010[05].csv,Escalator0.005065
FlamingGorge2,HY_FlamGorge_2010[05].csv,Escalator0.005065
