Ref ID,Plant/Unit (Short),Plant/Unit (Long),Bus #,ID,WECC Class Code,Status in GridView Model,Resource Modeling Category,TEPPC Area,TEPPC Region,County,State,Count for RPS?,Annual Energy (MWh),GV SubType,Generator Type,Primary Fuel,Hourly Profile,Hydro Region,Hydro Model,Nameplate (MW),SumCap (MW),WinCap (MW),Fuel Zone,"Commission Date","Retirement Date",Owner,"Ownership Shares","Confidential Location?","Latitude(Red=Confidential)","Longitude(Red=Confidential)",2022 PROMOD,PLANT_CODE,GENERATOR_ID,cooling,fuel E3,reported water source,waterpowercheck,
23,OakCreek2,Oak Creek Energy Systems I-2|Oak Wind-1,24491,T2,0 (Existing),TRUE,1.Hourly Renewable,CISC,CA-South,Kern,CA,Yes,9754,WT-Onshore,Wind-Onshore,Wind,WT-E_CA_MTN_2024[05],N/A,N/A,4.2,4.2,4.2,DefaultFuel,12/1/1993,12/31/2050,Oak Creek Energy System Inc II,,No,35.033828,-118.352027,ANTELOPE WIND,50754,GEN2,None,Wind,Unknown Freshwater,,
24,OakCreek3,Oak Creek Energy Systems I-3|Oak Wind-1,24491,T3,0 (Existing),TRUE,1.Hourly Renewable,CISC,CA-South,Kern,CA,Yes,53646,WT-Onshore,Wind-Onshore,Wind,WT-E_CA_MTN_2024[05],N/A,N/A,23.1,23.1,23.1,DefaultFuel,6/1/1999,12/31/2050,Oak Creek Energy System Inc II,,No,35.033828,-118.352027,ANTELOPE WIND,50754,GEN3,None,Wind,Unknown Freshwater,,
25,OakCreek4,Oak Creek Energy Systems I-4|Oak Wind-1,24491,T4,0 (Existing),TRUE,1.Hourly Renewable,CISC,CA-South,Kern,CA,Yes,8593,WT-Onshore,Wind-Onshore,Wind,WT-E_CA_MTN_2024[05],N/A,N/A,3.7,3.7,3.7,DefaultFuel,6/1/1999,12/31/2050,Oak Creek Energy System Inc II,,No,35.033828,-118.352027,ANTELOPE WIND,50754,GEN4,None,Wind,Unknown Freshwater,,
26,Abiquiu1,Abiquiu Dam-1,12000,T1,0 (Existing),TRUE,3.PLFHTC Hydro,PNM,AZ-NM-NV,Rio Arriba,NM,No,16137,Hydro,Hydro,Water,None,East,PLF K=0 (Flat),6.9,6.9,6.9,DefaultFuel,12/1/1988,12/31/2050,Los Alamos County,,No,36.157399,-106.280386,ABIQUI,7789,1,None,Hydropower,Surface Water,1,1275
27,Abiquiu2,Abiquiu Dam-2,12000,T2,0 (Existing),TRUE,3.PLFHTC Hydro,PNM,AZ-NM-NV,Rio Arriba,NM,No,16137,Hydro,Hydro,Water,None,East,PLF K=0 (Flat),6.9,6.9,6.9,DefaultFuel,12/1/1989,12/31/2050,Los Alamos County,,No,36.157399,-106.280386,ABIQUI,7789,2,None,Hydropower,Surface Water,1,1678
28,Abiquiu3,Abiquiu Dam-3,12000,T3,0 (Existing),TRUE,3.PLFHTC Hydro,PNM,AZ-NM-NV,Rio Arriba,NM,No,7682,Hydro,Hydro,Water,None,East,PLF K=0 (Flat),3,3,3,DefaultFuel,5/1/2011,12/31/2050,Los Alamos County,,No,36.157399,-106.280386,Abiquiu Expansion,7789,3,None,Hydropower,Surface Water,1,0
29,Alamitos1,AES Alamitos LLC-1,24001,1,0 (Existing),TRUE,5.Dispatchable Thermal,CISC,CA-South,Los Angeles,CA,No,0,ST-NatGas,Steam Turbine-Gas,Gas-Natural Gas,N/A,N/A,N/A,175,175,175,NG_CA SoCalGas,1/1/1956,12/31/2020,AES Alamitos LLC,,No,33.771052,-118.103111,AESAlamts1,315,1,Once-Through,Natural Gas,Ocean,,
30,Alamitos2,AES Alamitos LLC-2,24002,2,0 (Existing),TRUE,5.Dispatchable Thermal,CISC,CA-South,Los Angeles,CA,No,0,ST-NatGas,Steam Turbine-Gas,Gas-Natural Gas,N/A,N/A,N/A,176,176,176,NG_CA SoCalGas,1/1/1957,12/31/2020,AES Alamitos LLC,,No,33.771052,-118.103111,AESAlamts2,315,2,Once-Through,Natural Gas,Ocean,,
31,Alamitos3,AES Alamitos LLC-3,24003,3,0 (Existing),TRUE,5.Dispatchable Thermal,CISC,CA-South,Los Angeles,CA,No,0,ST-NatGas,Steam Turbine-Gas,Gas-Natural Gas,N/A,N/A,N/A,322,322,322,NG_CA SoCalGas,1/1/1961,12/31/2020,AES Alamitos LLC,,No,33.771052,-118.103111,AESAlamts3,315,3,Once-Through,Natural Gas,Ocean,,
32,Alamitos4,AES Alamitos LLC-4,24004,4,0 (Existing),TRUE,5.Dispatchable Thermal,CISC,CA-South,Los Angeles,CA,No,0,ST-NatGas,Steam Turbine-Gas,Gas-Natural Gas,N/A,N/A,N/A,320,320,320,NG_CA SoCalGas,1/1/1962,12/31/2020,AES Alamitos LLC,,No,33.771052,-118.103111,AESAlamts4,315,4,Once-Through,Natural Gas,Ocean,,
