Generator,Data File,Multiplier
Buffalo_Bill_3,HY_BuffBill_2024[05],Escalator0.0006
CabinetGorge1,HY_CabGorge_2024[05],Escalator0.00594
CabinetGorge2,HY_CabGorge_2024[05],Escalator0.00732
CabinetGorge3,HY_CabGorge_2024[05],Escalator0.00732
CabinetGorge4,HY_CabGorge_2024[05],Escalator0.00594
Canyon_Ferry_1,HY_CanyonFerry_2024[05],Escalator0.00166
Canyon_Ferry_2,HY_CanyonFerry_2024[05],Escalator0.00166
Canyon_Ferry_3,HY_CanyonFerry_2024[05],Escalator0.00166
ChinChute_Hydro,HY_ChinChute_2024[05],Escalator0.0012
Chicago_Park_2P,HY_ChiPark_2024[05],Escalator0.0042
Colgate_1,HY_Colgate_2024[05],Escalator0.017672
Colgate_2,HY_Colgate_2024[05],Escalator0.017567
Cougar_1,HY_Cougar_2024[05],Escalator0.0014
Cougar_2,HY_Cougar_2024[05],Escalator0.0014
Cresta_1,HY_Cresta_2024[05],Escalator0.00352
Cresta_2,HY_Cresta_2024[05],Escalator0.00352
Crystal_1,HY_Crystal_2024[05],Escalator0.00315
Cutler_1,HY_Cutler_2024[05],Escalator0.0015
Cutler_2,HY_Cutler_2024[05],Escalator0.0015
Davis_Dam_1,HY_Davis_2024[05],Escalator0.005175
Davis_Dam_2,HY_Davis_2024[05],Escalator0.005175
Davis_Dam_3,HY_Davis_2024[05],Escalator0.0048
Davis_Dam_4,HY_Davis_2024[05],Escalator0.005175
Davis_Dam_5,HY_Davis_2024[05],Escalator0.005175
Detroit_1,HY_Detroit_2024[05],Escalator0.005
Detroit_2,HY_Detroit_2024[05],Escalator0.005
DevilCanyon1,HY_DevilCnyn_2024[05],Escalator0.006
DevilCanyon2,HY_DevilCnyn_2024[05],Escalator0.006
DevilCanyon3,HY_DevilCnyn_2024[05],Escalator0.008
DevilCanyon4,HY_DevilCnyn_2024[05],Escalator0.008
Dexter_1,HY_Dexter_2024[05],Escalator0.0015
Donnells,HY_Donnells_2024[05],Escalator0.0072
DonPedro1,HY_DonPedro_2024[05],Escalator0.0055
DonPedro2,HY_DonPedro_2024[05],Escalator0.0055
DonPedro3,HY_DonPedro_2024[05],Escalator0.0055
DonPedro4,HY_DonPedro_2024[05],Escalator0.00382
Drum1-1,HY_Drum1_2024[05],Escalator0.00133
Drum1-2,HY_Drum1_2024[05],Escalator0.00133
Drum1-3,HY_Drum1_2024[05],Escalator0.00274
Drum1-4,HY_Drum1_2024[05],Escalator0.00132
Drum_2_5,HY_Drum2_2024[05],Escalator0.005
Dworshak_1,HY_Dworshk_2024[05],Escalator0.009
Dworshak_2,HY_Dworshk_2024[05],Escalator0.009
Dworshak_3,HY_Dworshk_2024[05],Escalator0.022
ElephantButte1,HY_EleButte_2024[05],Escalator0.00093
ElephantButte2,HY_EleButte_2024[05],Escalator0.00093
ElephantButte3,HY_EleButte_2024[05],Escalator0.00093
Estes_1,HY_Estes_2024[05],Escalator0.0015
Estes_2,HY_Estes_2024[05],Escalator0.0015
Estes_3,HY_Estes_2024[05],Escalator0.0015
Exchequer,HY_Exchequer_2024[05],Escalator0.00945
FlamingGorge1,HY_FlamGorge_2024[05],Escalator0.005065
FlamingGorge2,HY_FlamGorge_2024[05],Escalator0.005065
FlamingGorge3,HY_FlamGorge_2024[05],Escalator0.005065
Flatiron_1,HY_FlatIron_2024[05],Escalator0.0043
Flatiron_2,HY_FlatIron_2024[05],Escalator0.0043
Flatiron_3,HY_FlatIron3gen_2024[05],Escalator0.00085
Folsom_1,HY_Folsom_2024[05],Escalator0.00717
Folsom_2,HY_Folsom_2024[05],Escalator0.00717
Folsom_3,HY_Folsom_2024[05],Escalator0.00717
Fontenelle_1,HY_Fontenelle_2024[05],Escalator0.001
Foster_1,HY_Foster_2024[05],Escalator0.001
Foster_2,HY_Foster_2024[05],Escalator0.001
FremontCanyon1,HY_Fremont_2024[05],Escalator0.00334
FremontCanyon2,HY_Fremont_2024[05],Escalator0.00334
Fort_Peck_1,HY_FtPeck_2024[05],Escalator0.00435
Fort_Peck_2,HY_FtPeck_2024[05],Escalator0.00183
FortPeck3,HY_FtPeck_2024[05],Escalator0.00435
Baker_Station,HY_Generic_2024[Keswick05],Escalator0.00025
Belly_River,HY_Generic_2024[Keswick05],Escalator0.00027
BigCreekWW,HY_Generic_2024[Keswick05],Escalator0.0005
Borden-QFAgg,HY_Generic_2024[Keswick05],Escalator0.000224
BoxCanyonID,HY_Generic_2024[Keswick05],Escalator0.000056
BriggsCreek1,HY_Generic_2024[Keswick05],Escalator0.00006
Burney_QF,HY_Generic_2024[Keswick05],Escalator0.0001
Burton_Creek,HY_Generic_2024[Keswick05],Escalator0.000048
Canyon_Springs,HY_Generic_2024[Keswick05],Escalator0.000013
Cascade_CO,HY_Generic_2024[Keswick05],Escalator0.0001
Cedar_Draw_1,HY_Generic_2024[Keswick05],Escalator0.00023
Clark_Canyon,HY_Generic_2024[Keswick05],Escalator0.00047
ClrSpringsTrout,HY_Generic_2024[Keswick05],Escalator0.000052
ClrwatrFishHtch,HY_Generic_2024[Keswick05],Escalator0.00029
CombieNorth,HY_Generic_2024[Keswick05],Escalator0.000033
Corona_1,HY_Generic_2024[Keswick05],Escalator0.000285
Coyote_Creek_1,HY_Generic_2024[Keswick05],Escalator0.000313
Crane_Valley,HY_Generic_2024[Keswick05],Escalator0.00009
Curis_QF,HY_Generic_2024[Keswick05],Escalator0.00023
Curry_Cattle,HY_Generic_2024[Keswick05],Escalator0.000022
DivisionCreek,HY_Generic_2024[Keswick05],Escalator0.00006
Double_Weir1,HY_Generic_2024[Keswick05],Escalator0
Double_Weir2,HY_Generic_2024[Keswick05],Escalator0
Etiwanda_Hydro,HY_Generic_2024[Keswick05],Escalator0.0024
FargoDrop,HY_Generic_2024[Keswick05],Escalator0.000127
Faulkner_Ranch,HY_Generic_2024[Keswick05],Escalator0.000087
Fisheries_Dev,HY_Generic_2024[Keswick05],Escalator0.000026
FlintCreek,HY_Generic_2024[Keswick05],Escalator0.0002
Foothill_LA,HY_Generic_2024[Keswick05],Escalator0.0011
FortSeward_QF,HY_Generic_2024[Keswick05],Escalator0.00013
Gross_Hydro,HY_Generic_2024[Keswick05],Escalator0.00078
Hailey_Cspp_1,HY_Generic_2024[Keswick05],Escalator0.000006
Hellroaring1,HY_Generic_2024[Keswick05],Escalator0.00002
Hellroaring2,HY_Generic_2024[Keswick05],Escalator0.00002
Horse_Mesa_HM1,HY_Generic_2024[Keswick05],Escalator0.00099
Horse_Mesa_HM2,HY_Generic_2024[Keswick05],Escalator0.00099
Horse_Mesa_HM3,HY_Generic_2024[Keswick05],Escalator0.00099
Humboldt_QF,HY_Generic_2024[Keswick05],Escalator0.000005
Idylwilde_1,HY_Generic_2024[Keswick05],Escalator0.000045
Idylwilde_2,HY_Generic_2024[Keswick05],Escalator0.000045
Jim_Knight_1,HY_Generic_2024[Keswick05],Escalator0.000034
Kelly_Ridge_1,HY_Generic_2024[Keswick05],Escalator0.0011
Kohler_Hydro_1,HY_Generic_2024[Keswick05],Escalator0.000008
Kohler_Hydro_2,HY_Generic_2024[Keswick05],Escalator0.000008
LakeCreek_BPA1,HY_Generic_2024[Keswick05],Escalator0.0001
LakeCreek_BPA2,HY_Generic_2024[Keswick05],Escalator0.00035
Lemoyne_1,HY_Generic_2024[Keswick05],Escalator0.000008
Lewiston_1,HY_Generic_2024[Keswick05],Escalator0.00005
Longmont_1,HY_Generic_2024[Keswick05],Escalator0.00003
Longmont_2,HY_Generic_2024[Keswick05],Escalator0.00003
LOS_BANOS_QF,HY_Generic_2024[Keswick05],Escalator0.000168
Lower_Malad_1,HY_Generic_2024[Keswick05],Escalator0.00135
LowGap_QF,HY_Generic_2024[Keswick05],Escalator0.00035
LowLineMdwy2SoForks2,HY_Generic_2024[Keswick05],Escalator0.0004
LowLineMidway1,HY_Generic_2024[Keswick05],Escalator0.00025
LytleCreek1,HY_Generic_2024[Keswick05],Escalator0.00004
LytleCreek2,HY_Generic_2024[Keswick05],Escalator0.00004
Malad_River_1,HY_Generic_2024[Keswick05],Escalator0.000062
MamthPoolFshwtr,HY_Generic_2024[Keswick05],Escalator0.000125
Marco_Ranch_1,HY_Generic_2024[Keswick05],Escalator0.00003
Marco_Ranch_2,HY_Generic_2024[Keswick05],Escalator0.00003
Marco_Ranch_3,HY_Generic_2024[Keswick05],Escalator0.00003
Marco_Ranch_4,HY_Generic_2024[Keswick05],Escalator0.00003
Maxwell_Hydro,HY_Generic_2024[Keswick05],Escalator0.000007
McCall_QF,HY_Generic_2024[Keswick05],Escalator0.000145
MESA_QF,HY_Generic_2024[Keswick05],Escalator0.0001
Metcalf_QF,HY_Generic_2024[Keswick05],Escalator0.00008
MillCreek_OR,HY_Generic_2024[Keswick05],Escalator0.00005
MillCreek1,HY_Generic_2024[Keswick05],Escalator0.0001
MillCreek2_2,HY_Generic_2024[Keswick05],Escalator0.0001
MillCreek2_3,HY_Generic_2024[Keswick05],Escalator0.0001
MillCreek3_4,HY_Generic_2024[Keswick05],Escalator0.0001
MillCreek3_5,HY_Generic_2024[Keswick05],Escalator0.0001
MoraDrop,HY_Generic_2024[Keswick05],Escalator0.000185
MossLanding_QF,HY_Generic_2024[Keswick05],Escalator0.0001
MoyieSprings1,HY_Generic_2024[Keswick05],Escalator0.0001
MoyieSprings2,HY_Generic_2024[Keswick05],Escalator0.00004
MoyieSprings3,HY_Generic_2024[Keswick05],Escalator0.0001
MoyieSprings4,HY_Generic_2024[Keswick05],Escalator0.00015
MudCreek_S_S_1,HY_Generic_2024[Keswick05],Escalator0.000052
MudCreek_White,HY_Generic_2024[Keswick05],Escalator0.000021
NewLahontan,HY_Generic_2024[Keswick05],Escalator0.0004
Nooksack,HY_Generic_2024[Keswick05],Escalator0.00015
OilFields_QF,HY_Generic_2024[Keswick05],Escalator0.00038
Ontario1_1,HY_Generic_2024[Keswick05],Escalator0.00003
Ontario1-2,HY_Generic_2024[Keswick05],Escalator0.00003
Ontario1-3,HY_Generic_2024[Keswick05],Escalator0.000033
Ontario2_1,HY_Generic_2024[Keswick05],Escalator0.000037
Orodell_Hydro_1,HY_Generic_2024[Keswick05],Escalator0.000022
Perris_1,HY_Generic_2024[Keswick05],Escalator0.000794
PHP_2_2,HY_Generic_2024[Keswick05],Escalator0.00118
Pigeon_Cove_1,HY_Generic_2024[Keswick05],Escalator0.000189
Pit5_Agg,HY_Generic_2024[Keswick05],Escalator0.000375
POCATERA_1,HY_Generic_2024[Keswick05],Escalator0.0012
PointLomaHY,HY_Generic_2024[Keswick05],Escalator0.000135
PristineSpgs1_1,HY_Generic_2024[Keswick05],Escalator0.000013
PristineSpgs3_1,HY_Generic_2024[Keswick05],Escalator0.00002
Rancho,HY_Generic_2024[Keswick05],Escalator0.000465
RECTOR_Agg,HY_Generic_2024[Keswick05],Escalator0.001953
Red_Mountain_1,HY_Generic_2024[Keswick05],Escalator0.00059
Reynolds,HY_Generic_2024[Keswick05],Escalator0.000026
RHONDO,HY_Generic_2024[Keswick05],Escalator0.000512
Rim_View_1,HY_Generic_2024[Keswick05],Escalator0.00002
Rio_Hondo_1,HY_Generic_2024[Keswick05],Escalator0.000191
RioOso_QF,HY_Generic_2024[Keswick05],Escalator0.00025
Sagebrush_1,HY_Generic_2024[Keswick05],Escalator0.000043
Sahko_1,HY_Generic_2024[Keswick05],Escalator0.00005
SAUGUS,HY_Generic_2024[Keswick05],Escalator0.000933
Sawtelle_1,HY_Generic_2024[Keswick05],Escalator0.000064
Schaffner_1,HY_Generic_2024[Keswick05],Escalator0.000053
Shasta_River_1,HY_Generic_2024[Keswick05],Escalator0.00001
Shingle_Creek_1,HY_Generic_2024[Keswick05],Escalator0.000022
Sierra1,HY_Generic_2024[Keswick05],Escalator0.000037
Sierra2,HY_Generic_2024[Keswick05],Escalator0.000037
SLAB_CREEK,HY_Generic_2024[Keswick05],Escalator0.00004
Slab_Creek_1,HY_Generic_2024[Keswick05],Escalator0.000048
SmithCreek,HY_Generic_2024[Keswick05],Escalator0.000008
Snake_River,HY_Generic_2024[Keswick05],Escalator0.000007
Snedigar_1,HY_Generic_2024[Keswick05],Escalator0.000054
St.Johns,HY_Generic_2024[Keswick05],Escalator0.000108
St_Marys_Dam,HY_Generic_2024[Keswick05],Escalator0.00023
Stagecoach,HY_Generic_2024[Keswick05],Escalator0.000082
Stone_Drop_1,HY_Generic_2024[Keswick05],Escalator0.000024
SunshineCO,HY_Generic_2024[Keswick05],Escalator0.00007
SygitowiczCreek,HY_Generic_2024[Keswick05],Escalator0.000045
TableMountainQF,HY_Generic_2024[Keswick05],Escalator0.00058
Temescal_1,HY_Generic_2024[Keswick05],Escalator0.000285
TESLA_QF,HY_Generic_2024[Keswick05],Escalator0.000246
Tiber_Dam,HY_Generic_2024[Keswick05],Escalator0.00075
Trail_Bridge,HY_Generic_2024[Keswick05],Escalator0.001
TroutCoBillngsleyCrk,HY_Generic_2024[Keswick05],Escalator0.000024
Tule_River1,HY_Generic_2024[Keswick05],Escalator0.00042
Tule_River2,HY_Generic_2024[Keswick05],Escalator0.00042
Tule_River3,HY_Generic_2024[Keswick05],Escalator0.00013
Tule_River4,HY_Generic_2024[Keswick05],Escalator0.00013
Turnip_1,HY_Generic_2024[Keswick05],Escalator0.00004
VecinoVineyards,HY_Generic_2024[Keswick05],Escalator0.000125
Venice_1,HY_Generic_2024[Keswick05],Escalator0.001014
WarmSprings,HY_Generic_2024[Keswick05],Escalator0.000375
Waterton_Dam,HY_Generic_2024[Keswick05],Escalator0.00027
WATERWHEELRANCH,HY_Generic_2024[Keswick05],Escalator0.0001
WhiteWaterRanch,HY_Generic_2024[Keswick05],Escalator0.000016
YakamaDrop2,HY_Generic_2024[Keswick05],Escalator0.00025
YakamaDrop3-1,HY_Generic_2024[Keswick05],Escalator0.00008
YakamaDrop3-2,HY_Generic_2024[Keswick05],Escalator0.00008
YoungsCreek,HY_Generic_2024[Keswick05],Escalator0.00075
Glen_Canyon1,HY_GlenCanyon_2024[05],Escalator0.0165
Glen_Canyon2,HY_GlenCanyon_2024[05],Escalator0.0157
Glen_Canyon3,HY_GlenCanyon_2024[05],Escalator0.0165
Glen_Canyon4,HY_GlenCanyon_2024[05],Escalator0.0157
Glen_Canyon5,HY_GlenCanyon_2024[05],Escalator0.0165
Glen_Canyon6,HY_GlenCanyon_2024[05],Escalator0.0165
Glen_Canyon7,HY_GlenCanyon_2024[05],Escalator0.0157
Glen_Canyon8,HY_GlenCanyon_2024[05],Escalator0.0165
Glendo_1,HY_Glendo_2024[05],Escalator0.0019
Glendo_2,HY_Glendo_2024[05],Escalator0.0019
GreenMountain1,HY_GreenMt_2024[05],Escalator0.0013
GreenMountain2,HY_GreenMt_2024[05],Escalator0.0013
Green_Peter_1,HY_GreenPet_2024[05],Escalator0.004
Green_Peter_2,HY_GreenPet_2024[05],Escalator0.004
Hatchet_Creek,HY_HatchetCrk_2024[05],Escalator0.00068
MuckValley,HY_HatCrkPit1_2024[05],Escalator0.00325
HillsCreek1,HY_HillsCrk_2024[05],Escalator0.0015
HillsCreek2,HY_HillsCrk_2024[05],Escalator0.0015
Dion_R_Holm_1,HY_Holm_2024[05],Escalator0.0085
Dion_R_Holm_2,HY_Holm_2024[05],Escalator0.0085
Hungry_Horse_1,HY_HungryH_2024[05],Escalator0.0107
Hungry_Horse_2,HY_HungryH_2024[05],Escalator0.0107
Hungry_Horse_3,HY_HungryH_2024[05],Escalator0.0107
Hungry_Horse_4,HY_HungryH_2024[05],Escalator0.0107
Ice_Harbor_1,HY_IceHrbr_2024[05],Escalator0.009
Ice_Harbor_2,HY_IceHrbr_2024[05],Escalator0.009
Ice_Harbor_3,HY_IceHrbr_2024[05],Escalator0.009
Ice_Harbor_4,HY_IceHrbr_2024[05],Escalator0.0111
Ice_Harbor_5,HY_IceHrbr_2024[05],Escalator0.0111
Ice_Harbor_6,HY_IceHrbr_2024[05],Escalator0.0111
Irrican,HY_Irrican_2024[05],Escalator0.0007
Judge_F_Carr_1,HY_JFCarr_2024[05],Escalator0.00856
Judge_F_Carr_2,HY_JFCarr_2024[05],Escalator0.00856
Kerckhoff_H1,HY_Kerckhoff_2024[05],Escalator0.0013
Kerckhoff_H2,HY_Kerckhoff_2024[05],Escalator0.00128
Kerckhoff_H3,HY_Kerckhoff_2024[05],Escalator0.00128
Kerckhoff_2_1,HY_Kerckhoff2_2024[05],Escalator0.01539
KernRiver1_1,HY_KernRvr1_2024[05],Escalator0.00064
KernRiver1-2,HY_KernRvr1_2024[05],Escalator0.00064
KernRiver1-3,HY_KernRvr1_2024[05],Escalator0.00064
KernRiver1-4,HY_KernRvr1_2024[05],Escalator0.00064
KernRiver3_1,HY_KernRvr3_2024[05],Escalator0.001881
KernRiver3_2,HY_KernRvr3_2024[05],Escalator0.001799
Keswick_1,HY_Keswick_2024[05],Escalator0.0039
Keswick_2,HY_Keswick_2024[05],Escalator0.0039
Keswick_3,HY_Keswick_2024[05],Escalator0.0039
KingsRiverHY,HY_KingsRvr_2024[05],Escalator0.00512
R_C_Kirkwood_1,HY_Kirkwood_2024[05],Escalator0.004313
R_C_Kirkwood_2,HY_Kirkwood_2024[05],Escalator0.004313
R_C_Kirkwood_3,HY_Kirkwood_2024[05],Escalator0.004313
Kortes_1,HY_Kortes_2024[05],Escalator0.0012
Kortes_2,HY_Kortes_2024[05],Escalator0.0012
Kortes_3,HY_Kortes_2024[05],Escalator0.0012
Lemolo1-1,HY_Lemolo1_2024[05],Escalator0.003199
Libby_1,HY_Libby_2024[05],Escalator0.0105
Libby_2,HY_Libby_2024[05],Escalator0.0105
Libby_3,HY_Libby_2024[05],Escalator0.0105
Libby_4,HY_Libby_2024[05],Escalator0.0105
Libby_5,HY_Libby_2024[05],Escalator0.0105
Lookout_Point_1,HY_LooktPnt_2024[05],Escalator0.004
Lookout_Point_2,HY_LooktPnt_2024[05],Escalator0.004
Lookout_Point_3,HY_LooktPnt_2024[05],Escalator0.004
LostCreek_OR1,HY_LostCrk_2024[05],Escalator0.00245
LostCreek_OR2,HY_LostCrk_2024[05],Escalator0.00245
Lower_Granite_1,HY_LowrGrnt_2024[05],Escalator0.0135
Lower_Granite_2,HY_LowrGrnt_2024[05],Escalator0.0135
Lower_Granite_3,HY_LowrGrnt_2024[05],Escalator0.0135
Lower_Granite_4,HY_LowrGrnt_2024[05],Escalator0.0135
Lower_Granite_5,HY_LowrGrnt_2024[05],Escalator0.0135
Lower_Granite_6,HY_LowrGrnt_2024[05],Escalator0.0135
LowerMonumentl1,HY_LowrMnt_2024[05],Escalator0.0135
LowerMonumentl2,HY_LowrMnt_2024[05],Escalator0.0135
LowerMonumentl3,HY_LowrMnt_2024[05],Escalator0.0135
LowerMonumentl4,HY_LowrMnt_2024[05],Escalator0.0135
LowerMonumentl5,HY_LowrMnt_2024[05],Escalator0.0135
LowerMonumentl6,HY_LowrMnt_2024[05],Escalator0.0135
McNary01,HY_McNary_2024[05],Escalator0.007
McNary02,HY_McNary_2024[05],Escalator0.007
McNary03,HY_McNary_2024[05],Escalator0.007
McNary04,HY_McNary_2024[05],Escalator0.007
McNary05,HY_McNary_2024[05],Escalator0.007
McNary06,HY_McNary_2024[05],Escalator0.007
McNary07,HY_McNary_2024[05],Escalator0.007
McNary08,HY_McNary_2024[05],Escalator0.007
McNary09,HY_McNary_2024[05],Escalator0.007
McNary10,HY_McNary_2024[05],Escalator0.007
McNary11,HY_McNary_2024[05],Escalator0.007
McNary12,HY_McNary_2024[05],Escalator0.007
McNary13,HY_McNary_2024[05],Escalator0.007
McNary14,HY_McNary_2024[05],Escalator0.00805
McSwain_1,HY_MercedRiver_2024[05],Escalator0.001
Merwin_1,HY_Merwin_2024[05],Escalator0.0045
Merwin_2,HY_Merwin_2024[05],Escalator0.0045
Merwin_3,HY_Merwin_2024[05],Escalator0.0045
MIddleFork1,HY_MiddleFork_2024[05],Escalator0.006916
MIddleFork2,HY_MiddleFork_2024[05],Escalator0.0062
French_Meadows,HY_MiddleForkYuba_2024[05],Escalator0.0018
Hell_Hole,HY_MiddleForkYuba_2024[05],Escalator0.00005
Moccasin_1,HY_Moccasin_2024[05],Escalator0.00575
Moccasin_2,HY_Moccasin_2024[05],Escalator0.00575
Camanche_1,HY_MokelumneRiver_2024[05],Escalator0.000333
Camanche_2,HY_MokelumneRiver_2024[05],Escalator0.000333
Camanche_3,HY_MokelumneRiver_2024[05],Escalator0.000333
Pardee_1,HY_MokelumneRiver_2024[05],Escalator0.000953
Pardee_2,HY_MokelumneRiver_2024[05],Escalator0.000953
Pardee_3,HY_MokelumneRiver_2024[05],Escalator0.001093
Morrow_Point_1,HY_Morro_2024[05],Escalator0.008667
Morrow_Point_2,HY_Morro_2024[05],Escalator0.008667
Narrows2,HY_Narrows2_2024[05],Escalator0.0055
NewMelones1,HY_NewMelones_2024[05],Escalator0.015
NewMelones2,HY_NewMelones_2024[05],Escalator0.015
HamiltonBranch1,HY_NFeatherCaribou_2024[05],Escalator0.00024
HamiltonBranch2,HY_NFeatherCaribou_2024[05],Escalator0.00024
Oldman_2_2,HY_OldmanRiver_2024[05],Escalator0.0032
Oldman1-1,HY_OldmanRiver_2024[05],Escalator0.0032
Parker_Dam_1,HY_Parker_2024[05],Escalator0.003
Parker_Dam_2,HY_Parker_2024[05],Escalator0.003
Parker_Dam_3,HY_Parker_2024[05],Escalator0.003
Parker_Dam_4,HY_Parker_2024[05],Escalator0.003
Pit_1_H1,HY_Pit1_2024[05],Escalator0.0032
Pit_1_H2,HY_Pit1_2024[05],Escalator0.0032
Pit_3_H1,HY_Pit3_2024[05],Escalator0.00267
Pit_3_H2,HY_Pit3_2024[05],Escalator0.00267
Pit_3_H3,HY_Pit3_2024[05],Escalator0.00267
Pole_Hill_1,HY_PoleHill_2024[05],Escalator0.00382
Priest_Rapids_1,HY_PrstRpds_2024[05],Escalator0.0095
Priest_Rapids_2,HY_PrstRpds_2024[05],Escalator0.00978
Priest_Rapids_3,HY_PrstRpds_2024[05],Escalator0.0095
Priest_Rapids_4,HY_PrstRpds_2024[05],Escalator0.0095
Priest_Rapids_5,HY_PrstRpds_2024[05],Escalator0.0095
Priest_Rapids_6,HY_PrstRpds_2024[05],Escalator0.0095
Priest_Rapids_7,HY_PrstRpds_2024[05],Escalator0.0095
Priest_Rapids_8,HY_PrstRpds_2024[05],Escalator0.0095
Priest_Rapids_9,HY_PrstRpds_2024[05],Escalator0.00978
Priest_Rapids10,HY_PrstRpds_2024[05],Escalator0.0095
Ralston,HY_Ralston_2024[05],Escalator0.00895
Raymond,HY_RayRes_2024[05],Escalator0.002
Rock_Island_A,HY_RockIsland_2024[05],Escalator0.0001225
Rock_Island_B_1,HY_RockIsland_2024[05],Escalator0.00207
Rock_Island_B_2,HY_RockIsland_2024[05],Escalator0.00207
Rock_Island_B_3,HY_RockIsland_2024[05],Escalator0.00207
Rock_Island_B_4,HY_RockIsland_2024[05],Escalator0.00207
Rock_Island_B_5,HY_RockIsland_2024[05],Escalator0.00225
Rock_Island_B_6,HY_RockIsland_2024[05],Escalator0.00225
Rock_Island_B_7,HY_RockIsland_2024[05],Escalator0.00225
Rock_Island_B_8,HY_RockIsland_2024[05],Escalator0.00225
Rock_Island_B_9,HY_RockIsland_2024[05],Escalator0.00225
Rock_Island_B10,HY_RockIsland_2024[05],Escalator0.00225
Rock_Island_U_1,HY_RockIsland_2024[05],Escalator0.00513
Rock_Island_U_2,HY_RockIsland_2024[05],Escalator0.00513
Rock_Island_U_3,HY_RockIsland_2024[05],Escalator0.00513
Rock_Island_U_4,HY_RockIsland_2024[05],Escalator0.00513
Rock_Island_U_5,HY_RockIsland_2024[05],Escalator0.00513
Rock_Island_U_6,HY_RockIsland_2024[05],Escalator0.00513
Rock_Island_U_7,HY_RockIsland_2024[05],Escalator0.00513
Rock_Island_U_8,HY_RockIsland_2024[05],Escalator0.00513
Seminoe_1,HY_Seminoe_2024[05],Escalator0.00172
Seminoe_2,HY_Seminoe_2024[05],Escalator0.00172
Seminoe_3,HY_Seminoe_2024[05],Escalator0.00172
Spring_Creek_1,HY_SpringCreek_2024[05],Escalator0.00958
Spring_Creek_2,HY_SpringCreek_2024[05],Escalator0.00958
Stanislaus_HC1,HY_Stanislaus_2024[05],Escalator0.0091
TaylorHydro,HY_Taylor_2024[05],Escalator0.0014
Thermalito_1,HY_THermalito_2024[05],Escalator0.004042
Toketee_Falls_1,HY_Toketee_2024[05],Escalator0.001467
Toketee_Falls_2,HY_Toketee_2024[05],Escalator0.001467
Toketee_Falls_3,HY_Toketee_2024[05],Escalator0.001467
Towaoc_1,HY_Towaoc_2024[05],Escalator0.00115
Upper_Dawson_1,HY_TuolumneDonPedro_2024[05],Escalator0.00044
Wanapum01,HY_Wanapum_2024[05],Escalator0.01228
Wanapum01A,HY_Wanapum_2024[05],Escalator0.01228
Wanapum02A,HY_Wanapum_2024[05],Escalator0.01228
Wanapum03,HY_Wanapum_2024[05],Escalator0.01038
Wanapum04,HY_Wanapum_2024[05],Escalator0.01038
Wanapum05A,HY_Wanapum_2024[05],Escalator0.0122
Wanapum06,HY_Wanapum_2024[05],Escalator0.01038
Wanapum07A,HY_Wanapum_2024[05],Escalator0.01228
